This is the 1 Request of VIP-0
Light Change Period is 5245 MS

GhostRequest:[GhostRequest,1527043123291,(65,59)]
VIP Taxi Info:
  >>  TaxiNumber:0 TaxiPosition:(40,40) TaxiReputation:0
SendRoute:
  >>  Systime:1527043124223 Position:(40,41)
  >>  Systime:1527043124900 Position:(40,42)
  >>  Systime:1527043125404 Position:(41,42)
  >>  Systime:1527043125909 Position:(41,43)
  >>  Systime:1527043126413 Position:(41,44)
  >>  Systime:1527043126917 Position:(41,45)
  >>  Systime:1527043127420 Position:(41,46)
  >>  Systime:1527043127923 Position:(41,47)
  >>  Systime:1527043128424 Position:(41,48)
  >>  Systime:1527043128926 Position:(41,49)
  >>  Systime:1527043129427 Position:(41,50)
  >>  Systime:1527043129928 Position:(41,51)
  >>  Systime:1527043130430 Position:(41,52)
  >>  Systime:1527043130931 Position:(41,53)
  >>  Systime:1527043131431 Position:(41,54)
  >>  Systime:1527043131932 Position:(41,55)
  >>  Systime:1527043132433 Position:(41,56)
  >>  Systime:1527043132933 Position:(41,57)
  >>  Systime:1527043133434 Position:(41,58)
  >>  Systime:1527043133936 Position:(42,58)
  >>  Systime:1527043134436 Position:(42,59)
  >>  Systime:1527043134936 Position:(43,59)
  >>  Systime:1527043135437 Position:(44,59)
  >>  Systime:1527043135937 Position:(45,59)
  >>  Systime:1527043136437 Position:(46,59)
  >>  Systime:1527043136938 Position:(47,59)
  >>  Systime:1527043137438 Position:(48,59)
  >>  Systime:1527043137939 Position:(49,59)
  >>  Systime:1527043138439 Position:(50,59)
  >>  Systime:1527043138939 Position:(51,59)
  >>  Systime:1527043139440 Position:(52,59)
  >>  Systime:1527043139940 Position:(53,59)
  >>  Systime:1527043140440 Position:(54,59)
  >>  Systime:1527043140941 Position:(55,59)
  >>  Systime:1527043141441 Position:(56,59)
  >>  Systime:1527043141941 Position:(57,59)
  >>  Systime:1527043142442 Position:(58,59)
  >>  Systime:1527043142942 Position:(59,59)
  >>  Systime:1527043143442 Position:(60,59)
  >>  Systime:1527043143943 Position:(61,59)
  >>  Systime:1527043144443 Position:(62,59)
  >>  Systime:1527043144944 Position:(63,59)
  >>  Systime:1527043145444 Position:(64,59)
  >>  Systime:1527043145944 Position:(65,59)

This is the 1 Request of VIP-0
Light Change Period is 5245 MS

GhostRequest:[GhostRequest,1527043123291,(65,59)]
VIP Taxi Info:
  >>  TaxiNumber:0 TaxiPosition:(40,40) TaxiReputation:0
SendRoute:
  >>  Systime:1527043124223 Position:(40,41)
  >>  Systime:1527043124900 Position:(40,42)
  >>  Systime:1527043125404 Position:(41,42)
  >>  Systime:1527043125909 Position:(41,43)
  >>  Systime:1527043126413 Position:(41,44)
  >>  Systime:1527043126917 Position:(41,45)
  >>  Systime:1527043127420 Position:(41,46)
  >>  Systime:1527043127923 Position:(41,47)
  >>  Systime:1527043128424 Position:(41,48)
  >>  Systime:1527043128926 Position:(41,49)
  >>  Systime:1527043129427 Position:(41,50)
  >>  Systime:1527043129928 Position:(41,51)
  >>  Systime:1527043130430 Position:(41,52)
  >>  Systime:1527043130931 Position:(41,53)
  >>  Systime:1527043131431 Position:(41,54)
  >>  Systime:1527043131932 Position:(41,55)
  >>  Systime:1527043132433 Position:(41,56)
  >>  Systime:1527043132933 Position:(41,57)
  >>  Systime:1527043133434 Position:(41,58)
  >>  Systime:1527043133936 Position:(42,58)
  >>  Systime:1527043134436 Position:(42,59)
  >>  Systime:1527043134936 Position:(43,59)
  >>  Systime:1527043135437 Position:(44,59)
  >>  Systime:1527043135937 Position:(45,59)
  >>  Systime:1527043136437 Position:(46,59)
  >>  Systime:1527043136938 Position:(47,59)
  >>  Systime:1527043137438 Position:(48,59)
  >>  Systime:1527043137939 Position:(49,59)
  >>  Systime:1527043138439 Position:(50,59)
  >>  Systime:1527043138939 Position:(51,59)
  >>  Systime:1527043139440 Position:(52,59)
  >>  Systime:1527043139940 Position:(53,59)
  >>  Systime:1527043140440 Position:(54,59)
  >>  Systime:1527043140941 Position:(55,59)
  >>  Systime:1527043141441 Position:(56,59)
  >>  Systime:1527043141941 Position:(57,59)
  >>  Systime:1527043142442 Position:(58,59)
  >>  Systime:1527043142942 Position:(59,59)
  >>  Systime:1527043143442 Position:(60,59)
  >>  Systime:1527043143943 Position:(61,59)
  >>  Systime:1527043144443 Position:(62,59)
  >>  Systime:1527043144944 Position:(63,59)
  >>  Systime:1527043145444 Position:(64,59)
  >>  Systime:1527043145944 Position:(65,59)

This is the Request-1 of VIP-0
Light Change Period is 5062 MS

GhostRequest:[GhostRequest,1527044410908,(25,7)]
VIP Taxi Info:
  >>  TaxiNumber:0 TaxiPosition:(40,40) TaxiReputation:0
SendRoute:
  >>  Systime:1527044411821 Position:(40,39)
  >>  Systime:1527044412460 Position:(40,38)
  >>  Systime:1527044412963 Position:(40,37)
