Systime:1525857660200 Request:[CR,(0,0),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,1),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,2),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,3),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,4),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,5),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,6),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,7),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,8),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,9),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,10),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,11),(40,40)] Not Picked
Systime:1525857660200 Request:[CR,(0,12),(40,40)] Not Picked
Request:[CR,(0,13),(40,40)]
  >>  Systime:1525857660200 Departure:(0,13) Destination:(40,40) TaxiNumber:18
WillingDriver:
  >>  TaxiNumber:18 TaxiPosition:(4,15) TaxiStatus:Waiting TaxiReputation:35
PickRoute:
  >>  Systime:1525857668300 Position:(6,15)
  >>  Systime:1525857668800 Position:(7,15)
  >>  Systime:1525857669300 Position:(8,15)
  >>  Systime:1525857669800 Position:(9,15)
  >>  Systime:1525857670300 Position:(10,15)
  >>  Systime:1525857670800 Position:(11,15)
  >>  Systime:1525857671300 Position:(12,15)
  >>  Systime:1525857671800 Position:(13,15)
  >>  Systime:1525857672300 Position:(14,15)
  >>  Systime:1525857672800 Position:(15,15)
  >>  Systime:1525857673400 Position:(16,15)
  >>  Systime:1525857673800 Position:(17,15)
  >>  Systime:1525857674300 Position:(18,15)
  >>  Systime:1525857674800 Position:(19,15)
  >>  Systime:1525857675300 Position:(20,15)
  >>  Systime:1525857675800 Position:(21,15)
  >>  Systime:1525857676300 Position:(22,15)
  >>  Systime:1525857676800 Position:(23,15)
  >>  Systime:1525857677400 Position:(24,15)
  >>  Systime:1525857677900 Position:(25,15)
  >>  Systime:1525857678400 Position:(26,15)
  >>  Systime:1525857678900 Position:(27,15)
  >>  Systime:1525857679400 Position:(28,15)
  >>  Systime:1525857679900 Position:(29,15)
  >>  Systime:1525857680400 Position:(30,15)
  >>  Systime:1525857680900 Position:(31,15)
  >>  Systime:1525857681400 Position:(32,15)
  >>  Systime:1525857681900 Position:(33,15)
  >>  Systime:1525857682400 Position:(34,15)
  >>  Systime:1525857682900 Position:(35,15)
  >>  Systime:1525857683400 Position:(36,15)
  >>  Systime:1525857683900 Position:(37,15)
  >>  Systime:1525857684400 Position:(38,15)
  >>  Systime:1525857684900 Position:(39,15)
  >>  Systime:1525857685400 Position:(40,15)
  >>  Systime:1525857685900 Position:(41,15)
  >>  Systime:1525857686400 Position:(42,15)
  >>  Systime:1525857686900 Position:(43,15)
  >>  Systime:1525857687400 Position:(44,15)
  >>  Systime:1525857687900 Position:(45,15)
  >>  Systime:1525857688400 Position:(46,15)
  >>  Systime:1525857688900 Position:(47,15)
  >>  Systime:1525857689400 Position:(48,15)
  >>  Systime:1525857689900 Position:(49,15)
  >>  Systime:1525857690400 Position:(50,15)
  >>  Systime:1525857690900 Position:(51,15)
  >>  Systime:1525857691400 Position:(52,15)
  >>  Systime:1525857691900 Position:(53,15)
  >>  Systime:1525857692400 Position:(54,15)
  >>  Systime:1525857692900 Position:(55,15)
  >>  Systime:1525857693400 Position:(56,15)
  >>  Systime:1525857693900 Position:(57,15)
  >>  Systime:1525857694400 Position:(58,15)
  >>  Systime:1525857694900 Position:(59,15)
  >>  Systime:1525857695400 Position:(60,15)
  >>  Systime:1525857695900 Position:(61,15)
  >>  Systime:1525857696400 Position:(62,15)
  >>  Systime:1525857696900 Position:(63,15)
  >>  Systime:1525857697400 Position:(64,15)
  >>  Systime:1525857697900 Position:(65,15)
  >>  Systime:1525857698400 Position:(66,15)
  >>  Systime:1525857698900 Position:(67,15)
  >>  Systime:1525857699400 Position:(68,15)
  >>  Systime:1525857699900 Position:(69,15)
  >>  Systime:1525857700400 Position:(70,15)
  >>  Systime:1525857700900 Position:(71,15)
  >>  Systime:1525857701400 Position:(72,15)
  >>  Systime:1525857701900 Position:(73,15)
  >>  Systime:1525857702400 Position:(74,15)
  >>  Systime:1525857702900 Position:(75,15)
  >>  Systime:1525857703400 Position:(76,15)
  >>  Systime:1525857703900 Position:(77,15)
  >>  Systime:1525857704400 Position:(78,15)
  >>  Systime:1525857704900 Position:(79,15)
  >>  Systime:1525857705400 Position:(79,14)
  >>  Systime:1525857705900 Position:(79,13)
  >>  Systime:1525857706400 Position:(78,13)
  >>  Systime:1525857706900 Position:(77,13)
  >>  Systime:1525857707400 Position:(76,13)
  >>  Systime:1525857707900 Position:(75,13)
  >>  Systime:1525857708400 Position:(74,13)
  >>  Systime:1525857708900 Position:(73,13)
  >>  Systime:1525857709400 Position:(72,13)
  >>  Systime:1525857709900 Position:(71,13)
  >>  Systime:1525857710400 Position:(70,13)
  >>  Systime:1525857710900 Position:(69,13)
  >>  Systime:1525857711400 Position:(68,13)
  >>  Systime:1525857711900 Position:(67,13)
  >>  Systime:1525857712400 Position:(66,13)
  >>  Systime:1525857712900 Position:(65,13)
  >>  Systime:1525857713400 Position:(64,13)
  >>  Systime:1525857713900 Position:(63,13)
  >>  Systime:1525857714400 Position:(62,13)
  >>  Systime:1525857714900 Position:(61,13)
  >>  Systime:1525857715400 Position:(60,13)
  >>  Systime:1525857715900 Position:(59,13)
  >>  Systime:1525857716400 Position:(58,13)
  >>  Systime:1525857716900 Position:(57,13)
  >>  Systime:1525857717400 Position:(56,13)
  >>  Systime:1525857717900 Position:(55,13)
  >>  Systime:1525857718400 Position:(54,13)
  >>  Systime:1525857718900 Position:(53,13)
  >>  Systime:1525857719400 Position:(52,13)
  >>  Systime:1525857719900 Position:(51,13)
  >>  Systime:1525857720400 Position:(50,13)
  >>  Systime:1525857720900 Position:(49,13)
  >>  Systime:1525857721400 Position:(48,13)
  >>  Systime:1525857721900 Position:(47,13)
  >>  Systime:1525857722400 Position:(46,13)
  >>  Systime:1525857722900 Position:(45,13)
  >>  Systime:1525857723400 Position:(44,13)
  >>  Systime:1525857723900 Position:(43,13)
  >>  Systime:1525857724400 Position:(42,13)
  >>  Systime:1525857724900 Position:(41,13)
  >>  Systime:1525857725400 Position:(40,13)
  >>  Systime:1525857725900 Position:(39,13)
  >>  Systime:1525857726400 Position:(38,13)
  >>  Systime:1525857726900 Position:(37,13)
  >>  Systime:1525857727400 Position:(36,13)
  >>  Systime:1525857727900 Position:(35,13)
  >>  Systime:1525857728400 Position:(34,13)
  >>  Systime:1525857728900 Position:(33,13)
  >>  Systime:1525857729400 Position:(32,13)
  >>  Systime:1525857729900 Position:(31,13)
  >>  Systime:1525857730400 Position:(30,13)
  >>  Systime:1525857730900 Position:(29,13)
  >>  Systime:1525857731400 Position:(28,13)
  >>  Systime:1525857731900 Position:(27,13)
  >>  Systime:1525857732400 Position:(26,13)
  >>  Systime:1525857732900 Position:(25,13)
  >>  Systime:1525857733400 Position:(24,13)
  >>  Systime:1525857733900 Position:(23,13)
  >>  Systime:1525857734400 Position:(22,13)
  >>  Systime:1525857734900 Position:(21,13)
  >>  Systime:1525857735400 Position:(20,13)
  >>  Systime:1525857735900 Position:(19,13)
  >>  Systime:1525857736400 Position:(18,13)
  >>  Systime:1525857736900 Position:(17,13)
  >>  Systime:1525857737400 Position:(16,13)
  >>  Systime:1525857737900 Position:(15,13)
  >>  Systime:1525857738400 Position:(14,13)
  >>  Systime:1525857738900 Position:(13,13)
  >>  Systime:1525857739400 Position:(12,13)
  >>  Systime:1525857739900 Position:(11,13)
  >>  Systime:1525857740400 Position:(10,13)
  >>  Systime:1525857740900 Position:(9,13)
  >>  Systime:1525857741400 Position:(8,13)
  >>  Systime:1525857741900 Position:(7,13)
  >>  Systime:1525857742400 Position:(6,13)
  >>  Systime:1525857742900 Position:(5,13)
  >>  Systime:1525857743400 Position:(4,13)
  >>  Systime:1525857743900 Position:(3,13)
  >>  Systime:1525857744400 Position:(2,13)
  >>  Systime:1525857744900 Position:(1,13)
  >>  Systime:1525857745400 Position:(0,13)
SendRoute:
  >>  Systime:1525857747000 Position:(1,13)
  >>  Systime:1525857747500 Position:(2,13)
  >>  Systime:1525857748000 Position:(3,13)
  >>  Systime:1525857748500 Position:(4,13)
  >>  Systime:1525857749000 Position:(5,13)
  >>  Systime:1525857749500 Position:(6,13)
  >>  Systime:1525857750000 Position:(7,13)
  >>  Systime:1525857750500 Position:(8,13)
  >>  Systime:1525857751000 Position:(9,13)
  >>  Systime:1525857751500 Position:(10,13)
  >>  Systime:1525857752000 Position:(11,13)
  >>  Systime:1525857752500 Position:(12,13)
  >>  Systime:1525857753000 Position:(13,13)
  >>  Systime:1525857753500 Position:(14,13)
  >>  Systime:1525857754000 Position:(15,13)
  >>  Systime:1525857754500 Position:(16,13)
  >>  Systime:1525857755000 Position:(17,13)
  >>  Systime:1525857755500 Position:(18,13)
  >>  Systime:1525857756000 Position:(19,13)
  >>  Systime:1525857756500 Position:(20,13)
  >>  Systime:1525857757000 Position:(21,13)
  >>  Systime:1525857757500 Position:(22,13)
  >>  Systime:1525857758000 Position:(23,13)
  >>  Systime:1525857758500 Position:(24,13)
  >>  Systime:1525857759000 Position:(25,13)
  >>  Systime:1525857759500 Position:(26,13)
  >>  Systime:1525857760000 Position:(27,13)
  >>  Systime:1525857760500 Position:(28,13)
  >>  Systime:1525857761000 Position:(29,13)
  >>  Systime:1525857761500 Position:(30,13)
  >>  Systime:1525857762000 Position:(31,13)
  >>  Systime:1525857762500 Position:(32,13)
  >>  Systime:1525857763000 Position:(33,13)
  >>  Systime:1525857763500 Position:(34,13)
  >>  Systime:1525857764000 Position:(35,13)
  >>  Systime:1525857764500 Position:(36,13)
  >>  Systime:1525857765000 Position:(37,13)
  >>  Systime:1525857765500 Position:(38,13)
  >>  Systime:1525857766000 Position:(39,13)
  >>  Systime:1525857766500 Position:(40,13)
  >>  Systime:1525857767000 Position:(41,13)
  >>  Systime:1525857767500 Position:(42,13)
  >>  Systime:1525857768000 Position:(43,13)
  >>  Systime:1525857768500 Position:(44,13)
  >>  Systime:1525857769000 Position:(45,13)
  >>  Systime:1525857769500 Position:(46,13)
  >>  Systime:1525857770000 Position:(47,13)
  >>  Systime:1525857770500 Position:(48,13)
  >>  Systime:1525857771000 Position:(49,13)
  >>  Systime:1525857771500 Position:(50,13)
  >>  Systime:1525857772000 Position:(51,13)
  >>  Systime:1525857772500 Position:(52,13)
  >>  Systime:1525857773000 Position:(53,13)
  >>  Systime:1525857773500 Position:(54,13)
  >>  Systime:1525857774000 Position:(55,13)
  >>  Systime:1525857774500 Position:(56,13)
  >>  Systime:1525857775000 Position:(57,13)
  >>  Systime:1525857775500 Position:(58,13)
  >>  Systime:1525857776000 Position:(59,13)
  >>  Systime:1525857776500 Position:(60,13)
  >>  Systime:1525857777000 Position:(61,13)
  >>  Systime:1525857777500 Position:(62,13)
  >>  Systime:1525857778000 Position:(63,13)
  >>  Systime:1525857778500 Position:(64,13)
  >>  Systime:1525857779000 Position:(65,13)
  >>  Systime:1525857779500 Position:(66,13)
  >>  Systime:1525857780000 Position:(67,13)
  >>  Systime:1525857780500 Position:(68,13)
  >>  Systime:1525857781000 Position:(69,13)
  >>  Systime:1525857781500 Position:(70,13)
  >>  Systime:1525857782000 Position:(71,13)
  >>  Systime:1525857782500 Position:(72,13)
  >>  Systime:1525857783000 Position:(73,13)
  >>  Systime:1525857783500 Position:(74,13)
  >>  Systime:1525857784000 Position:(75,13)
  >>  Systime:1525857784500 Position:(76,13)
  >>  Systime:1525857785000 Position:(77,13)
  >>  Systime:1525857785500 Position:(78,13)
  >>  Systime:1525857786000 Position:(79,13)
  >>  Systime:1525857786500 Position:(79,14)
  >>  Systime:1525857787000 Position:(79,15)
  >>  Systime:1525857787500 Position:(79,16)
  >>  Systime:1525857788000 Position:(79,17)
  >>  Systime:1525857788500 Position:(79,18)
  >>  Systime:1525857789000 Position:(79,19)
  >>  Systime:1525857789500 Position:(79,20)
  >>  Systime:1525857790000 Position:(79,21)
  >>  Systime:1525857790500 Position:(79,22)
  >>  Systime:1525857791000 Position:(79,23)
  >>  Systime:1525857791500 Position:(79,24)
  >>  Systime:1525857792000 Position:(79,25)
  >>  Systime:1525857792500 Position:(79,26)
  >>  Systime:1525857793000 Position:(79,27)
  >>  Systime:1525857793500 Position:(79,28)
  >>  Systime:1525857794000 Position:(79,29)
  >>  Systime:1525857794500 Position:(79,30)
  >>  Systime:1525857795000 Position:(79,31)
  >>  Systime:1525857795500 Position:(79,32)
  >>  Systime:1525857796000 Position:(79,33)
  >>  Systime:1525857796500 Position:(79,34)
  >>  Systime:1525857797000 Position:(79,35)
  >>  Systime:1525857797500 Position:(79,36)
  >>  Systime:1525857798000 Position:(79,37)
  >>  Systime:1525857798500 Position:(79,38)
  >>  Systime:1525857799000 Position:(79,39)
  >>  Systime:1525857799500 Position:(79,40)
  >>  Systime:1525857800000 Position:(78,40)
  >>  Systime:1525857800500 Position:(77,40)
  >>  Systime:1525857801000 Position:(76,40)
  >>  Systime:1525857801500 Position:(75,40)
  >>  Systime:1525857802000 Position:(74,40)
  >>  Systime:1525857802500 Position:(73,40)
  >>  Systime:1525857803000 Position:(72,40)
  >>  Systime:1525857803500 Position:(71,40)
  >>  Systime:1525857804000 Position:(70,40)
  >>  Systime:1525857804500 Position:(69,40)
  >>  Systime:1525857805000 Position:(68,40)
  >>  Systime:1525857805500 Position:(67,40)
  >>  Systime:1525857806000 Position:(66,40)
  >>  Systime:1525857806500 Position:(65,40)
  >>  Systime:1525857807000 Position:(64,40)
  >>  Systime:1525857807500 Position:(63,40)
  >>  Systime:1525857808000 Position:(62,40)
  >>  Systime:1525857808500 Position:(61,40)
  >>  Systime:1525857809000 Position:(60,40)
  >>  Systime:1525857809500 Position:(59,40)
  >>  Systime:1525857810000 Position:(58,40)
  >>  Systime:1525857810500 Position:(57,40)
